set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    34.19    68.17    60.37    16.45    67.31    31.44    53.83    45.25    26.81 
o2      34.19        0    36.34    66.81     50.6    39.18    48.65    52.83    22.71    38.05 
o3      68.17    36.34        0    73.81    84.43    11.68    70.07     57.2    47.94    59.85 
o4      60.37    66.81    73.81        0    65.38    64.05       30    16.61    89.12    34.16 
1       16.45     50.6    84.43    65.38        0    82.99    35.47    62.76    59.51    35.81 
2       67.31    39.18    11.68    64.05    82.99        0    64.02    47.56    55.08    54.54 
3       31.44    48.65    70.07       30    35.47    64.02        0    28.98    68.26    10.86 
4       53.83    52.83     57.2    16.61    62.76    47.56    28.98        0    75.51    27.35 
5       45.25    22.71    47.94    89.12    59.51    55.08    68.26    75.51        0    58.37 
6       26.81    38.05    59.85    34.16    35.81    54.54    10.86    27.35    58.37        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    33.51    80.41    78.31    14.09     58.1    37.21    56.19    52.94    27.03 
o2      31.45        0     53.6    68.66    43.04    47.29    68.71     76.8    27.09    50.92 
o3      78.31    38.59        0   104.24   115.52    16.08    80.12     62.9    44.77    52.44 
o4      88.55    97.96    88.61        0    66.03    68.73    41.72    13.38   115.79    40.87 
1       24.62    65.49   111.19    71.29        0    83.31    33.93    88.14    55.88    32.22 
2       61.25    53.25    17.52    62.62    93.81        0    77.43    48.44    81.24    65.13 
3        36.2    63.67     62.2    33.93    45.43    81.79        0    24.92    55.05     9.53 
4       74.74    63.56    63.97    17.68     77.8    41.81     36.2        0   103.46    39.13 
5       59.93    18.18    58.59   122.98    88.95     51.6    80.68     78.3        0    52.57 
6       33.85    46.05     51.8    37.47    45.58    63.77     10.1     35.2    81.09        0 
;

param d:       1    2    3    4 :=
1       0    0    0   17 
2       0   19   19    0 
3       0    0    0   19 
4       0   19    0    0 
5       9    0   17    0 
6       0    0    0   18 
;
