set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    90.52    79.43    74.16    23.69    14.72     34.7    81.95    89.26   116.24 
o2      90.52        0    39.41    64.66    67.01    78.74    66.89     8.73    14.05    47.67 
o3      79.43    39.41        0    88.92    60.63    64.89    71.49     37.6    26.55    86.86 
o4      74.16    64.66    88.92        0    57.61    72.76    39.87    58.63    75.17    55.34 
1       23.69    67.01    60.63    57.61        0    15.65    19.36    58.39    66.67    93.75 
2       14.72    78.74    64.89    72.76    15.65        0    33.34    70.42    76.18   108.81 
3        34.7    66.89    71.49    39.87    19.36    33.34        0    58.26    70.52    83.39 
4       81.95     8.73     37.6    58.63    58.39    70.42    58.26        0    16.67    49.94 
5       89.26    14.05    26.55    75.17    66.67    76.18    70.52    16.67        0    61.51 
6      116.24    47.67    86.86    55.34    93.75   108.81    83.39    49.94    61.51        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0   109.68    68.27    95.51    23.38     14.2    35.55   119.78   130.63   114.59 
o2      119.2        0    49.58    89.91    67.74    88.47    88.23     7.48    18.72    57.31 
o3      76.59    50.66        0   125.01    60.98    86.32   106.71    43.52     35.2   103.11 
o4      92.14     54.1   117.41        0    64.19    73.08    39.65    66.18    89.03    52.47 
1       32.68    94.18    74.75    84.28        0    21.77    20.29    63.65    58.04     90.7 
2       20.51   117.53    83.92    77.13    16.18        0    27.05   102.65    87.87    95.94 
3       37.53    93.51    71.63    46.87    22.63    39.94        0    58.05    96.93    85.52 
4       112.5     7.62    55.02    61.05    76.25    93.42    80.94        0    16.86    62.66 
5      110.67    12.43    23.98    91.59    94.39   103.29    71.78    20.58        0    58.29 
6      106.93    60.35    71.25    61.68   137.04   143.17   113.89    47.21     60.2        0 
;

param d:       1    2    3    4 :=
1       0   18    0    0 
2       0    0    6   20 
3       0    0    0   13 
4       0    0    8    0 
5      12    0    7    0 
6       0   20    0    0 
;
