set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    37.65    81.77   121.75    99.79     84.4    79.52    60.84    74.92    86.92 
o2      37.65        0    49.19    88.49    75.54    63.29    72.83    38.99    39.36    60.19 
o3      81.77    49.19        0       40    34.05    31.61    59.63    28.39    13.96    19.17 
o4     121.75    88.49       40        0    40.18    52.54    82.92    64.81    49.57    40.69 
1       99.79    75.54    34.05    40.18        0    16.35    43.51    39.14    47.82    15.99 
2        84.4    63.29    31.61    52.54    16.35        0    30.97    24.82    43.24    14.08 
3       79.52    72.83    59.63    82.92    43.51    30.97        0    38.23    68.17    44.76 
4       60.84    38.99    28.39    64.81    39.14    24.82    38.23        0    31.96    26.37 
5       74.92    39.36    13.96    49.57    47.82    43.24    68.17    31.96        0    32.39 
6       86.92    60.19    19.17    40.69    15.99    14.08    44.76    26.37    32.39        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    31.75   115.04   156.32   129.74    97.06   107.71    86.38    81.64    94.37 
o2      31.72        0    62.65   119.77    67.06    56.51    72.74    53.02    47.24    68.05 
o3     117.74     55.8        0    36.65    31.81    39.86    79.52     25.5    15.67    16.71 
o4     167.94    78.49    33.45        0    37.94    53.54    96.43    95.32     66.6    56.34 
1      122.92    63.78    39.83     49.2        0    20.77    61.53    40.59    70.75     16.2 
2      120.14    71.12    26.12    52.13    23.12        0    45.58    20.04    35.29    16.65 
3       88.51    79.62    75.88    95.49    49.12     32.2        0     39.5    70.06     43.8 
4       62.24       52    22.72    76.58    43.24    25.98    33.29        0    41.56    21.82 
5      105.32    51.74    16.84    58.09    49.12    43.21    79.71    32.64        0    43.95 
6       92.04    85.41     24.6    52.97    14.27    20.04    56.81    38.22    37.62        0 
;

param d:       1    2    3    4 :=
1       0    0    0   16 
2       0    0    0    5 
3       0   16    0    0 
4      13    7   10   11 
5       9    0    0    0 
6       0    0   13    0 
;
