set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 ;
set K[3] := 1 2 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0     52.1    14.27    64.22    13.46    49.32     55.3    31.48    47.52    36.81 
o2       52.1        0    50.19    33.21     56.5    57.04    35.52     27.5    70.96    61.19 
o3      14.27    50.19        0     69.4    27.72    35.16    44.54    24.47    34.06    22.95 
o4      64.22    33.21     69.4        0    61.23    87.12    68.51    53.95    97.94    86.97 
1       13.46     56.5    27.72    61.23        0    62.64    66.27    41.18    60.72    50.19 
2       49.32    57.04    35.16    87.12    62.64        0     27.6    33.64    18.84    17.62 
3        55.3    35.52    44.54    68.51    66.27     27.6        0     25.5     45.8    40.23 
4       31.48     27.5    24.47    53.95    41.18    33.64     25.5        0    44.43    34.04 
5       47.52    70.96    34.06    97.94    60.72    18.84     45.8    44.43        0    11.46 
6       36.81    61.19    22.95    86.97    50.19    17.62    40.23    34.04    11.46        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    59.37     13.8    68.76    16.44    58.32    70.61    28.88    62.97     55.2 
o2      55.27        0    54.53    35.52    48.73    57.66    45.49    40.25    72.75    90.59 
o3      18.18    58.62        0    71.25       25    49.14     59.7    31.96    47.28    28.02 
o4      71.56    27.01    95.45        0    88.46    82.64    94.45    48.16   107.64    81.49 
1       14.14    76.02     28.4    80.38        0    63.46    88.77    44.14    65.33    43.04 
2       50.65    52.62    36.59     77.4    57.38        0    30.02    36.16    16.44    16.07 
3       56.33    38.29    59.33    70.24    82.24    25.45        0    27.03    56.61     53.1 
4       33.35    22.13    21.73    72.75     38.6    50.33    34.42        0    35.71    35.08 
5       53.58    94.97    40.31   131.69    69.91    26.54    53.06    62.82        0    11.91 
6       34.54     72.3    23.27   109.24    54.44     16.9    54.19    30.52    10.87        0 
;

param d:       1    2    3    4 :=
1       0    0   13    5 
2       0    0    9   17 
3      19   17    0    6 
4       0    0    0    8 
5       0    0   17    7 
6       0    0    0    9 
;
