set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 3 ;
set K[3] := 1 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    49.34    73.53    36.97    68.21    54.17    33.69    60.04    50.21    66.97 
o2      49.34        0    31.93    77.81    50.98    64.41    82.38    41.61    81.94    20.42 
o3      73.53    31.93        0    92.04    34.96    63.14   103.05    30.15    89.65    13.49 
o4      36.97    77.81    92.04        0     71.7    42.42    22.75    67.59    18.55    90.36 
1       68.21    50.98    34.96     71.7        0    33.17    88.81     9.79    63.43    43.89 
2       54.17    64.41    63.14    42.42    33.17        0    63.06    33.34    30.74    67.28 
3       33.69    82.38   103.05    22.75    88.81    63.06        0    82.97    41.15    98.54 
4       60.04    41.61    30.15    67.59     9.79    33.34    82.97        0    61.75    36.73 
5       50.21    81.94    89.65    18.55    63.43    30.74    41.15    61.75        0    90.72 
6       66.97    20.42    13.49    90.36    43.89    67.28    98.54    36.73    90.72        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    56.65    91.13    47.79    79.17    80.11    42.58    53.82    69.06    67.67 
o2      48.99        0    31.68    95.95     64.2    70.91    75.68    53.99   115.55    20.26 
o3       63.5    41.99        0    73.99    30.56    73.93    85.44     36.7    95.17    17.48 
o4      50.22    67.97    118.4        0    92.59    54.37    18.69    70.51    24.76    117.7 
1      101.55    74.96    29.33    80.92        0    40.79   105.56    13.58    58.35    63.31 
2       59.24    61.23    78.77    41.03    48.27        0    86.36    32.93    44.56     79.1 
3       28.69    82.07   151.05    26.39   123.37    94.49        0    72.61    49.88    81.68 
4       83.42    47.81    42.47    72.52    12.71    49.96   102.58        0    88.18    39.09 
5       72.61    66.23   112.76    23.23    52.72    45.96    51.96    60.75        0     79.2 
6       76.18    18.06    17.57    87.12    49.17    93.62    82.64    48.13   110.74        0 
;

param d:       1    2    3    4 :=
1       0    8   10   13 
2       0   12    0    0 
3       6    0    0    0 
4       0    0   17    6 
5       0    8    0    0 
6      15    0    9   10 
;
