set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    69.08    91.74    27.94    81.39    19.82     78.3    39.46    60.17    42.27 
o2      69.08        0    26.62    41.15    69.64    50.64    65.75    29.79    60.67   109.01 
o3      91.74    26.62        0    64.28    66.03    72.18    62.87    54.17    65.48   128.89 
o4      27.94    41.15    64.28        0    68.41    10.71    64.64    11.83    49.38    68.56 
1       81.39    69.64    66.03    68.41        0    66.42     4.03    69.02    21.26    98.85 
2       19.82    50.64    72.18    10.71    66.42        0    62.93    22.29    45.98    58.44 
3        78.3    65.75    62.87    64.64     4.03    62.93        0    65.06    18.47    97.14 
4       39.46    29.79    54.17    11.83    69.02    22.29    65.06        0    52.23    80.39 
5       60.17    60.67    65.48    49.38    21.26    45.98    18.47    52.23        0    79.49 
6       42.27   109.01   128.89    68.56    98.85    58.44    97.14    80.39    79.49        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6 :=
o1          0    102.9   110.15       39   109.83    28.89   106.62    56.84    74.38    53.54 
o2     101.35        0    28.81    59.92    83.15    70.17    91.06    31.05    80.92   118.25 
o3     128.95    31.34        0    62.75     93.1    59.61    80.78    76.67    71.01   163.17 
o4      36.38    41.76    77.06        0    78.39    11.91    68.65    15.49    55.91    55.53 
1       79.74    88.85    55.05    70.63        0    53.49     3.29    61.66     29.2   143.31 
2       18.75    61.82    69.74    14.54    67.46        0    92.28    29.02    51.95     49.6 
3       69.95    77.94    90.15    57.03     5.13    78.77        0    55.95    26.77   132.76 
4       35.62    30.47    60.19    12.38    55.28    26.17    91.59        0    45.97    79.97 
5        50.7    67.55    57.45    47.22    17.34    57.66    14.96    53.54        0    68.22 
6       58.05   104.46   150.09    79.47     85.2    71.42    83.33   104.34    77.62        0 
;

param d:       1    2    3    4 :=
1       0    0    0   11 
2       0    0   16   20 
3      11   20    0    0 
4       0   12    0   12 
5       0   19    0    0 
6       0   15    0    0 
;
