set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    82.98    76.57    66.62    85.57    40.84    48.49    68.42    90.57    45.24    28.41 
o2      82.98        0    76.92    39.16    13.03    42.48    42.65    19.59    16.95   102.88    66.52 
o3      76.57    76.92        0    97.17    67.47    60.79     45.9    80.79    68.46    55.06    49.03 
o4      66.62    39.16    97.17        0    50.81    39.27    51.77    20.86    55.64   101.94    64.73 
1       85.57    13.03    67.47    50.81        0    44.87    40.32    30.17      5.4    99.57    65.34 
2       40.84    42.48    60.79    39.27    44.87        0    15.56    30.95    49.98    64.75    26.82 
3       48.49    42.65     45.9    51.77    40.32    15.56        0    38.14    44.59    60.24    25.06 
4       68.42    19.59    80.79    20.86    30.17    30.95    38.14        0     35.2    95.48    57.62 
5       90.57    16.95    68.46    55.64      5.4    49.98    44.59     35.2        0   103.12    69.65 
6       45.24   102.88    55.06   101.94    99.57    64.75    60.24    95.48   103.12        0    37.93 
7       28.41    66.52    49.03    64.73    65.34    26.82    25.06    57.62    69.65    37.93        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0   102.82    75.24    67.63    70.22    50.24     42.6    84.99    88.61    44.16    29.69 
o2      92.48        0    74.57    38.33    14.77     59.5    53.66    28.45    22.45   147.64    53.91 
o3      69.01    75.44        0   114.92    65.44    88.19    42.48   107.48    75.75    81.18    41.47 
o4      97.39    42.61   141.78        0    44.62    53.74    64.13    17.66    80.58    136.2    55.88 
1      120.18    11.42    65.09    55.38        0    49.12    60.43    28.55     4.69   113.26    79.17 
2        39.1    45.44    88.61    50.28    45.63        0    22.76    26.74    41.06    68.99    38.61 
3       52.37    35.14    65.28    69.18    46.21    21.94        0    44.48    59.99    62.76    24.92 
4       83.16    17.03    91.84       23    25.78    33.34    53.77        0    31.05   137.71    53.29 
5       83.59     19.2     99.4    69.29     6.27    57.82    57.19    48.53        0   101.42    93.22 
6       56.27   105.12    72.48   127.83   133.24    85.92    50.71   140.09    96.15        0    39.62 
7       35.79    94.35    72.25     81.7    67.26    23.03    23.61     59.9    84.63    41.19        0 
;

param d:       1    2    3    4 :=
1       0    0    8    5 
2       0   18    0    0 
3       0    0    6    0 
4       0   18   15    0 
5       0    0    0   18 
6       0   11    6    8 
7      14    0    0    0 
;
