set N := 1 2 3 4 5 6 7 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 ;
set o := o1 o2 o3 o4 ;

param Q := 100;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0     72.3    67.51     18.4    49.01     25.4     7.78     65.2     70.1    37.86    47.06 
o2       72.3        0    18.86    55.37     49.8    70.94    68.79    60.12    102.2    38.16    88.37 
o3      67.51    18.86        0    53.48    33.74    59.84     62.3    41.66    85.42    29.77    73.89 
o4       18.4    55.37    53.48        0    43.95    33.06    18.73    61.87    78.77    25.97    56.84 
1       49.01     49.8    33.74    43.95        0    31.11    41.64    18.07    52.41    21.93     40.4 
2        25.4    70.94    59.84    33.06    31.11        0    18.08    43.59    46.03    32.86    23.78 
3        7.78    68.79     62.3    18.73    41.64    18.08        0    57.53    63.59    32.54    40.73 
4        65.2    60.12    41.66    61.87    18.07    43.59    57.53        0     46.7    39.57    43.28 
5        70.1    102.2    85.42    78.77    52.41    46.03    63.59     46.7        0    69.66    23.09 
6       37.86    38.16    29.77    25.97    21.93    32.86    32.54    39.57    69.66        0    52.22 
7       47.06    88.37    73.89    56.84     40.4    23.78    40.73    43.28    23.09    52.22        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7 :=
o1          0    77.32    58.45    23.06    46.01    29.15     8.96    81.56     67.8    37.63    58.01 
o2      98.53        0    25.14    52.61    68.33    62.05    83.96    56.44   131.76    49.75    75.98 
o3      66.28    28.28        0    66.61    31.82    65.56     63.4    53.63   114.63    26.19    65.59 
o4      27.13    72.08    53.65        0    42.61    38.63    26.63    59.44    64.42     33.5    47.64 
1       70.99     42.4    39.84    61.08        0    32.13    38.16    14.48    69.94    31.07    60.21 
2        20.8    76.48    68.83    28.89    26.24        0    26.11     60.3    65.94    34.22    28.03 
3         9.4    98.43    72.06    15.26    39.05    24.83        0    47.24    69.13     30.4     41.7 
4       53.76    57.11    37.54    59.82    25.85    58.14    70.23        0    69.41    35.84    38.84 
5      104.95   118.96    82.85   112.85     45.5    58.12    94.66    48.87        0    61.85    29.17 
6       42.47    46.42    40.53       21    19.53    30.46    34.96    57.48    66.38        0    60.04 
7       69.07    80.64    82.16    60.33    53.06    23.51    54.55    54.63    24.09    73.08        0 
;

param d:       1    2    3    4 :=
1       0    0    8    0 
2       7    8    0   19 
3      11    0    9   16 
4      14    0    0    0 
5       0   17    0    0 
6       0    0    0   13 
7       0    0    9    0 
;
