set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 3 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    47.64    21.99    53.62    31.18    39.03    10.16     31.9    44.67    34.63     52.7    25.94 
o2      47.64        0     32.5    22.15    78.74    40.58    52.18     32.5    82.67    82.23    83.93    61.09 
o3      21.99     32.5        0    32.38    49.92    19.54    21.76    35.03    50.21    54.45    52.53    45.68 
o4      53.62    22.15    32.38        0    82.23    28.07    54.03    50.64    77.02    86.83    74.59    73.79 
1       31.18    78.74    49.92    82.23        0       61     28.2    59.68    33.13     5.87    46.72    35.56 
2       39.03    40.58    19.54    28.07       61        0    34.47    53.55    49.64    66.38    46.51    64.32 
3       10.16    52.18    21.76    54.03     28.2    34.47        0    41.28    35.01    32.95    42.54    34.37 
4        31.9     32.5    35.03    50.64    59.68    53.55    41.28        0    76.28    61.24     82.9    31.83 
5       44.67    82.67    50.21    77.02    33.13    49.64    35.01    76.28        0    38.34    14.08    63.02 
6       34.63    82.23    54.45    86.83     5.87    66.38    32.95    61.24    38.34        0    52.12    34.67 
7        52.7    83.93    52.53    74.59    46.72    46.51    42.54     82.9    14.08    52.12        0    74.02 
8       25.94    61.09    45.68    73.79    35.56    64.32    34.37    31.83    63.02    34.67    74.02        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    56.85     22.4    66.21    33.14    43.47    12.43    38.92    39.19    46.27    44.22    36.11 
o2      39.49        0    39.58    20.53   112.94    33.23    77.64    41.69    74.43    68.57   109.26    51.51 
o3      28.92    43.11        0    48.14    70.06    16.71    28.58    33.92    61.71    46.97    48.82    39.54 
o4         53    31.99    45.64        0   114.67    26.06    62.75    61.24    95.93   116.12    70.26   104.56 
1       37.98     63.3    68.26   116.75        0    54.24    33.34    85.24    32.17     7.33    54.51     38.2 
2       37.41    56.68    16.51    32.88    90.62        0    30.39    67.22     65.4    61.95     53.1    85.87 
3        8.98    46.05     30.3    62.94    30.13    40.18        0    54.04    42.58    37.46    48.04     37.8 
4       30.08    30.59    38.64    46.99    79.15    50.59    38.28        0       75    85.95    86.39    45.52 
5       65.15    99.68    43.48   113.91    29.97    47.52    43.56   103.37        0    50.24    20.47    85.59 
6       42.31   109.68    66.24    80.41     7.64    56.21    28.74    53.06    46.46        0     44.8    44.65 
7       52.02    80.95    53.81   109.02    68.37    45.85    56.02   104.29    19.58    52.69        0    83.17 
8       34.22    52.35    60.86    88.72    34.29    82.69    48.32    32.01    83.84    51.75    85.67        0 
;

param d:       1    2    3    4 :=
1       0    0   16    9 
2       0   13    0    0 
3       0    0    0   17 
4       0    0   11    8 
5       0    0   10   19 
6      11    0    0    0 
7      13    0    0   17 
8       0    0    0    6 
;
