set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 2 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    56.63     70.6     62.5    48.55    55.24     71.4    39.88    20.34    57.13    39.74    33.37 
o2      56.63        0     97.3    94.71    42.16    106.6    41.55    94.46    42.61    68.79    89.75    44.76 
o3       70.6     97.3        0    10.68    56.46     50.7    74.85    59.08    86.71    30.39    45.87     53.7 
o4       62.5    94.71    10.68        0    55.79    40.37     76.8    48.42     79.8    32.18    35.26     50.1 
1       48.55    42.16    56.46    55.79        0    78.59    25.45    72.39    50.95    26.83    62.79     15.7 
2       55.24    106.6     50.7    40.37    78.59        0   103.62    17.91    75.56    64.71    16.86    65.78 
3        71.4    41.55    74.85     76.8    25.45   103.62        0    97.84    68.64    44.81    88.09    40.56 
4       39.88    94.46    59.08    48.42    72.39    17.91    97.84        0     59.8     64.7    13.43    57.79 
5       20.34    42.61    86.71     79.8    50.95    75.56    68.64     59.8        0    67.68    60.04    39.27 
6       57.13    68.79    30.39    32.18    26.83    64.71    44.81     64.7    67.68        0    52.17    29.12 
7       39.74    89.75    45.87    35.26    62.79    16.86    88.09    13.43    60.04    52.17        0    49.33 
8       33.37    44.76     53.7     50.1     15.7    65.78    40.56    57.79    39.27    29.12    49.33        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    61.27    98.38    81.93    60.51    54.79   106.19    51.52    27.47    66.12    47.55    27.93 
o2      74.94        0    85.47   127.36     39.9   137.27     37.7   141.41    61.79    94.91    80.84    43.01 
o3      57.35    90.64        0    16.01    78.05    70.42     87.4    80.22    70.33    34.89    39.84    72.37 
o4      53.78   109.93     9.85        0    60.41    49.16    99.58    65.88    96.32    34.67    38.62    57.37 
1        63.3    39.59    72.41    49.01        0   110.47    25.81     68.9    56.41     31.5    60.94    13.62 
2        78.4   139.26    46.69    49.11    72.15        0   146.43    21.14    62.02     67.7       18    64.07 
3        78.7     51.1   111.56    100.2    38.08   137.28        0   110.91    87.63    50.45    93.35    49.22 
4       43.48   141.57    55.65    43.25     70.5    15.87   107.31        0    60.94    65.37    11.03     65.2 
5       21.17    46.26   123.07    93.73    49.18    89.66    95.56    88.21        0    97.13    84.12    39.07 
6       53.77    69.48    35.78    32.05    28.66    79.67    58.19     84.5     66.3        0    45.98    39.94 
7        37.5    102.9    61.19    47.73    92.32    22.43    82.81    11.17    55.47    74.78        0     73.4 
8       41.68    62.87    46.49    57.13    18.51     86.9    38.92     83.8    43.15    38.82    47.36        0 
;

param d:       1    2    3    4 :=
1      19    0   18   15 
2       0    0    0    9 
3       0    0    8    0 
4       0    9   13   16 
5       0   18    0    0 
6       0    0   15    5 
7       0    0    6    0 
8       9   13   15   13 
;
