set N := 1 2 3 4 5 6 7 8 ;
set C := 1 2 3 4 ;
set K[1] := 1 ;
set K[2] := 1 2 ;
set K[3] := 1 2 3 ;
set K[4] := 1 2 3 ;
set o := o1 o2 o3 o4 ;

param Q := 150;

param dist:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    82.13    21.41    14.79    91.99       16     81.8    73.52    22.01    67.27    47.86    52.43 
o2      82.13        0    61.77    71.21     9.97    92.08    67.26    52.79    61.97    54.23    73.45    57.39 
o3      21.41    61.77        0    17.54    71.47    35.16    74.91    63.58     1.94    58.28    48.16    45.45 
o4      14.79    71.21    17.54        0    81.18    20.89    67.27    58.73    19.23    52.49    34.82    37.72 
1       91.99     9.97    71.47    81.18        0   102.04    73.23    59.37     71.6    61.62     82.5    66.18 
2          16    92.08    35.16    20.89   102.04        0    79.39    73.87    36.25    67.25    42.69    52.16 
3        81.8    67.26    74.91    67.27    73.23    79.39        0    15.04    76.64    17.38    37.19    29.82 
4       73.52    52.79    63.58    58.73    59.37    73.87    15.04        0    65.18     6.68    35.07    21.72 
5       22.01    61.97     1.94    19.23     71.6    36.25    76.64    65.18        0    59.95     50.1    47.25 
6       67.27    54.23    58.28    52.49    61.62    67.25    17.38     6.68    59.95        0     28.6    15.13 
7       47.86    73.45    48.16    34.82     82.5    42.69    37.19    35.07     50.1     28.6        0    16.71 
8       52.43    57.39    45.45    37.72    66.18    52.16    29.82    21.72    47.25    15.13    16.71        0 
;

param trav_time:       o1       o2       o3       o4        1        2        3        4        5        6        7        8 :=
o1          0    66.39    27.19    16.33   128.35    20.14   115.42    94.79    28.21    59.18    68.09    43.44 
o2     119.59        0    53.47   101.96    11.27    93.72    81.86    67.19    84.06     45.3   108.96    70.69 
o3      21.09    51.04        0    18.94    76.96    31.18    69.42    84.16     1.95    78.34    40.64    64.31 
o4      16.68       75    14.87        0   100.47    30.84    57.37    64.27    25.29    71.08    51.24    38.08 
1       76.32     9.43       79   107.51        0   103.84    87.45    79.21    63.86     58.3    73.39    83.86 
2       19.43   102.34    44.86    16.82   116.75        0    84.31   108.55    40.01    79.67    59.97    64.99 
3       82.46    81.49    69.89    88.57    93.24    93.12        0    15.36    65.73    24.29    42.98    31.34 
4      103.99    56.03    93.71    85.82    52.33    68.41    13.24        0    61.29     9.34     44.5     25.4 
5       25.19     75.6      1.6    21.77    90.82    38.22    96.25    73.69        0    53.93    41.82    69.04 
6       63.49    66.22    73.07    56.22     90.4    59.84    25.55     7.82    83.09        0    35.71    21.05 
7       70.13     89.1    60.95    40.34    86.51    58.04     42.9    29.58    70.48    36.72        0    21.73 
8       60.29    77.74    64.53     41.1    71.85    43.94    37.98     29.4    41.95    13.51    16.69        0 
;

param d:       1    2    3    4 :=
1       0   18    7   14 
2      11   17    5    9 
3       0    0    0   16 
4       0   12    0    0 
5      19   18    5   18 
6       5    0   11    0 
7       0   10    0    0 
8       0    8    0    0 
;
