set N := 1 2 3 4 5 6 ;
set C := 1 2 3 4 5 ;
set K[1] := 1 2 ;
set K[2] := 1 ;
set K[3] := 1 ;
set K[4] := 1 ;
set K[5] := 1 2 ;
set o := o1 o2 o3 o4 o5 ;

param Q := 100;

param dist:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    68.72    41.31     11.5    35.04    29.41    53.17    57.15    52.47    57.71    27.46 
o2      68.72        0   100.76    76.96     61.4    62.78    15.79    21.77    50.75    38.18    44.56 
o3      41.31   100.76        0    29.82    42.95     39.3    86.96    83.04    63.15    75.07    66.98 
o4       11.5    76.96    29.82        0    32.82    26.98    61.85    62.97    52.79    60.54    38.18 
o5      35.04     61.4    42.95    32.82        0     5.85     50.2    41.46    21.07    32.13    42.74 
1       29.41    62.78     39.3    26.98     5.85        0    50.49     43.9    26.37    36.38    39.63 
2       53.17    15.79    86.96    61.85     50.2    50.49        0    19.11    44.49    34.86    28.85 
3       57.15    21.77    83.04    62.97    41.46     43.9    19.11        0    28.98    16.82    39.86 
4       52.47    50.75    63.15    52.79    21.07    26.37    44.49    28.98        0    13.91    49.98 
5       57.71    38.18    75.07    60.54    32.13    36.38    34.86    16.82    13.91        0    48.11 
6       27.46    44.56    66.98    38.18    42.74    39.63    28.85    39.86    49.98    48.11        0 
;

param trav_time:       o1       o2       o3       o4       o5        1        2        3        4        5        6 :=
o1          0    69.11    58.59    14.07    33.28    31.38    73.88    46.45    72.95    54.24    35.56 
o2      73.26        0    95.17    95.42    79.47    87.56    19.64    26.88    58.94     42.3    58.67 
o3      44.68   100.51        0    25.76    34.77    32.86   103.13   123.52    91.51   103.06    94.36 
o4      11.48    83.64    25.88        0    41.58    26.05    77.85     82.6    67.17    56.05     33.7 
o5      46.92     69.6    55.01    48.14        0     7.98     41.7    51.67     23.1    38.02     38.6 
1        33.9    74.77    33.27    23.62     8.77        0    64.99    47.08    23.92    39.56    53.76 
2        62.6    14.47    99.06     70.7     60.6    49.06        0    27.92    45.76    44.73    29.89 
3       73.83    32.53    99.25    91.67     36.8    53.99    26.79        0    25.56    20.81    55.45 
4       77.84    59.59    83.62    72.94    23.26    24.37    45.61    32.87        0    16.06    67.94 
5       59.87    34.15    97.86    65.83    26.65    47.91    35.12    13.95     15.4        0    63.07 
6        25.3    39.95    74.97    48.95    49.04     50.7     28.5    43.79    42.24    53.87        0 
;

param d:       1    2    3    4    5 :=
1       0    0    0    0   14 
2       0    8    0    0    0 
3       0   13    0    0    0 
4       0    0   19    0    0 
5       0    0    0    9    0 
6       6    0    6    0    0 
;
