# ==============================================================================
# AMPL Data File: Example 5.1
# SCC-VRP with 4 Carriers and 7 Customers
# ==============================================================================
set N :=  1 2 3 4 5 6 7;
set C :=  1 2 3 4;
set K[1] := 1;
set K[2] := 2;
set K[3] := 3;
set K[4] := 4;
set o :=  o1 o2 o3 o4;
param Q :=  100 ;
param dist: o1 o2 o3 o4 1 2 3 4 5 6 7 :=
o1 0 110 155.56 110 14.14 10 14.14 10 10 10 10
o2 110 0 110 155.56 120.42 120 120.42 110.45 110.45 120 100
o3 155.56 110 0 110 169.71 162.79 156.21 162.79 148.66 162.79 148.66
o4 110 155.56 110 0 120.42 110.45 100.5 120 100 110.45 110.45
1 14.14 120.42 169.71 120.42 0 10 20 10 22.36 10 22.36
2 10 120 162.79 110.45 10 0 10 14.14 14.14 0 20
3 14.14 120.42 156.21 100.5 20 10 0 22.36 10 10 22.36
4 10 110.45 162.79 120 10 14.14 22.36 0 20 14.14 14.14
5 10 110.45 148.66 100 22.36 14.14 10 20 0 14.14 14.14
6 10 120 162.79 110.45 10 0 10 14.14 14.14 0 20
7 10 100 148.66 110.45 22.36 20 22.36 14.14 14.14 20 0
;
param trav_time: o1 o2 o3 o4 1 2 3 4 5 6 7 :=
o1 0 124.30 207.89 113.30 16.69 10.70 15.55 13.80 10.50 13.20 12.60
o2 95.70 0 150.70 196.01 104.77 171.60 109.58 147.90 152.42 105.60 146
o3 190.84 101.20 0 163.90 198.56 162.79 212.45 130.23 163.53 195.35 193.26
o4 119.90 199.12 90.20 0 143.30 90.57 125.63 102 111 152.42 97.20
1 17.53 156.55 181.59 132.46 0 11.50 27.60 10.80 25.04 12 31.98
2 8.60 171.60 178.75 131.44 13.50 0 10.80 20.79 18.81 0 17.20
3 16.54 104.77 212.45 131.65 24.80 11.60 0 22.36 11.80 14.10 27.73
4 9.10 132.54 138.37 108 13.90 11.31 27.28 0 18.60 12.87 16.83
5 14.70 99.41 197.72 95 30.86 16.26 13.50 17.40 0 17.25 19.23
6 10.80 120 146.51 143.59 11.10 0 11.30 18.24 20.50 0 28.40
7 14.20 95 208.12 145.79 18.78 25.60 24.60 15.55 15.55 17 0
;
param d:  1 2 3 4  :=
1 0 12 0 0
2 12 8 0 0
3 12 0 8 8
4 12 0 8 8
5 12 0 0 8
6 12 4 0 0
7 12 0 4 4
;
